# name:     Al2O3  corundum
# formula:  Al2O3
# sites:    Al1,O1
# refer1:   Wyckoff vol 2, V, p 6-8
# schoen:   D_3d^6
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
    0.120668E+02    0.313305E+00    0.539248E-01    0.146237E+00    0.235225E-01    0.287687E+00    0.476211E-02    0.312123E-01
    0.122777E+02    0.352228E+00    0.463026E-01    0.163024E+00    0.199061E-01    0.247712E+00    0.576461E-02    0.252928E-01
    0.124913E+02    0.389283E+00    0.412372E-01    0.178808E+00    0.174911E-01    0.221446E+00    0.679899E-02    0.213465E-01
    0.127076E+02    0.424088E+00    0.382492E-01    0.193459E+00    0.160245E-01    0.206392E+00    0.783188E-02    0.188467E-01
    0.129267E+02    0.457147E+00    0.355368E-01    0.207213E+00    0.147185E-01    0.192839E+00    0.885753E-02    0.167268E-01
    0.131485E+02    0.488994E+00    0.340063E-01    0.220323E+00    0.139333E-01    0.185683E+00    0.988562E-02    0.153302E-01
    0.133730E+02    0.519730E+00    0.327312E-01    0.232845E+00    0.132747E-01    0.179926E+00    0.109096E-01    0.141654E-01
    0.136002E+02    0.549976E+00    0.314990E-01    0.245044E+00    0.126498E-01    0.174369E+00    0.119449E-01    0.131059E-01
    0.138301E+02    0.580026E+00    0.307252E-01    0.257050E+00    0.122211E-01    0.171309E+00    0.129993E-01    0.123027E-01
    0.140628E+02    0.610056E+00    0.300262E-01    0.268935E+00    0.118313E-01    0.168634E+00    0.140760E-01    0.115789E-01
    0.142981E+02    0.640488E+00    0.293445E-01    0.280867E+00    0.114549E-01    0.166003E+00    0.151884E-01    0.109004E-01
    0.145362E+02    0.671649E+00    0.288488E-01    0.292971E+00    0.111560E-01    0.164363E+00    0.163482E-01    0.103207E-01
    0.147771E+02    0.703815E+00    0.284862E-01    0.305348E+00    0.109113E-01    0.163421E+00    0.175656E-01    0.980996E-02
    0.150206E+02    0.737450E+00    0.281610E-01    0.318167E+00    0.106819E-01    0.162622E+00    0.188582E-01    0.932629E-02
    0.152669E+02    0.772817E+00    0.283984E-01    0.331514E+00    0.106639E-01    0.165010E+00    0.202381E-01    0.903346E-02
    0.155158E+02    0.810261E+00    0.286705E-01    0.345502E+00    0.106542E-01    0.167548E+00    0.217186E-01    0.874669E-02
    0.157676E+02    0.850559E+00    0.290261E-01    0.360394E+00    0.106683E-01    0.170491E+00    0.233324E-01    0.847375E-02
    0.160220E+02    0.894499E+00    0.296324E-01    0.376450E+00    0.107641E-01    0.174798E+00    0.251133E-01    0.825415E-02
    0.162791E+02    0.943206E+00    0.302554E-01    0.394032E+00    0.108518E-01    0.179050E+00    0.271096E-01    0.801050E-02
    0.165390E+02    0.998312E+00    0.310800E-01    0.413660E+00    0.109928E-01    0.184272E+00    0.293922E-01    0.778126E-02
